,Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty
0,0,0,0,2,0,0,0,0,0
1,0,0,1,2,1,0,-1,0,0
2,0,0,0,2,1,0,-2,0,0
3,0,2,0,1,1,0,-3,0,0
4,0,2,0,0,1,0,-3,1,0
5,0,2,0,-1,1,0,-3,1,1
6,0,2,0,-2,2,0,-3,1,1
7,0,5,0,-2,4,0,-3,1,1
8,0,5,0,-3,4,0,-3,1,1
9,0,5,0,-4,3,0,-2,1,1
10,0,5,0,-4,4,0,-2,1,1
11,0,6,1,-4,4,0,-2,1,1
12,0,6,1,-5,4,0,-1,1,1
13,0,4,1,-5,4,0,0,0,1
14,0,4,1,-5,4,0,0,0,2
15,0,4,1,-5,4,0,0,0,2
16,0,4,1,-6,4,-1,0,0,2
17,0,3,1,-5,3,-1,1,0,2
18,0,0,3,-5,2,-1,2,0,2
19,0,0,3,-5,2,-1,-1,2,2
20,0,-1,3,-5,2,-1,-2,2,2
21,0,-1,3,-5,2,-1,-2,2,2
22,0,-1,3,-5,2,-1,-2,2,2
23,0,-3,3,-4,2,-1,-2,2,2
24,0,-2,3,-4,2,-1,-2,2,2
25,0,-2,3,-4,1,-1,-3,2,2
26,0,-3,3,-4,1,-1,0,2,2
27,0,-3,3,-4,1,-1,1,2,2
28,0,-3,3,-4,1,-1,1,2,2
29,0,-3,3,-3,1,-1,0,2,2
30,0,-3,3,-2,1,-1,0,2,2
31,0,-3,4,-2,1,-1,-1,2,2
32,0,-3,5,-2,1,0,-1,1,2
33,0,-3,5,-2,1,0,-1,1,2
34,0,-3,5,-2,1,0,-1,1,2
35,0,-3,5,-2,1,0,-1,1,2
36,0,-3,5,-2,1,0,-1,1,2
37,0,-3,5,-2,1,0,-1,1,2
38,0,-3,5,-2,1,0,-1,1,2
39,0,-3,5,-2,1,0,-1,1,2
40,0,-3,5,-2,1,0,-1,1,2
41,0,-3,5,-2,1,0,-1,1,2
42,0,-3,5,-2,1,0,-1,1,2
43,0,-3,5,-2,1,0,-1,1,2
44,0,-3,5,-2,1,0,-1,1,2
45,0,-3,5,-2,1,0,-1,1,2
46,0,-3,5,-2,1,0,-1,1,2
47,0,-3,5,-2,1,0,-1,1,2
48,0,-3,5,-2,1,0,-1,1,2
49,0,-3,5,-2,1,0,-1,1,2
50,0,-3,5,-2,1,0,-1,1,2
51,0,-2,5,-3,1,0,1,1,2
52,0,-1,4,-2,1,0,0,1,2
53,0,-1,3,-1,0,0,-1,1,2
54,0,-2,2,-1,-1,0,-1,1,2
55,0,-4,2,0,-1,0,0,1,2
56,0,-3,2,0,-1,0,0,2,2
57,0,-3,1,0,-1,0,1,3,2
58,0,-3,1,-1,-1,0,1,3,2
59,0,-4,1,0,-1,1,1,3,2
60,0,-3,1,1,-1,1,2,3,2
61,0,-1,1,1,-1,1,1,3,2
62,0,-1,0,1,-1,1,1,3,2
63,0,0,0,2,-1,1,1,3,2
64,0,-1,0,2,-1,1,1,3,2
65,0,0,-1,2,-1,1,1,3,2
66,0,-1,-1,1,-1,1,1,3,2
67,0,-3,-1,1,-1,1,1,3,2
68,0,-3,-1,1,-1,1,1,3,2
69,0,-3,-1,0,-1,1,2,3,2
70,0,-2,-1,0,-1,1,1,3,2
71,0,-2,-1,0,-1,2,1,3,2
72,-1,-2,-1,-1,-1,3,1,3,2
73,-1,-2,-1,-1,-1,3,2,3,2
74,-1,-2,-1,-1,0,3,2,3,2
75,-1,-1,-1,-1,0,3,4,3,2
76,-1,-1,-1,-1,0,3,4,3,2
77,-1,-1,-1,0,0,3,4,3,2
78,-1,-1,-1,-1,0,3,3,3,2
79,-1,-1,-1,-1,0,3,2,2,2
80,-1,-1,-1,-2,0,3,3,2,3
81,-1,-3,-1,-3,0,3,3,2,3
82,-1,-2,0,-3,0,3,3,2,3
83,-1,-2,0,-4,0,3,4,2,3
84,-1,-2,-1,-5,0,3,4,2,3
85,-1,-2,-1,-4,0,3,5,2,2
86,-1,-2,-2,-3,0,3,5,3,2
87,-1,-2,-2,-3,0,3,5,3,2
88,-1,-2,-2,-3,0,3,5,3,2
89,-1,-2,-2,-3,0,3,5,3,2
90,-1,-2,-2,-3,0,3,5,3,2
91,-1,-2,-2,-3,0,3,5,3,2
92,-1,-2,-2,-3,0,3,5,3,2
93,-1,-2,-2,-3,0,3,5,3,2
94,-1,-2,-2,-3,0,3,5,3,2
95,-1,-2,-2,-4,0,3,5,3,2
96,-1,-2,-2,-4,0,3,5,3,2
97,-1,-2,-2,-4,0,3,5,3,2
98,-1,-2,-2,-4,0,3,5,3,2
99,-1,-2,-2,-4,0,3,5,3,2
100,-1,-2,-2,-4,0,3,5,3,2
101,-1,-2,-2,-4,0,3,5,3,2
102,-1,-2,-2,-4,0,3,5,3,2
103,-1,-2,-2,-4,0,3,5,3,2
104,-1,-2,-2,-4,0,3,5,3,2
105,-1,-2,-2,-5,0,3,5,3,2
106,-1,-3,-1,-5,0,3,5,2,2
107,-1,-3,-3,-5,1,3,6,2,2
108,-1,-2,-3,-5,2,3,5,2,2
109,-1,-2,-3,-5,2,3,3,2,2
110,-1,-3,-3,-6,2,3,3,2,2
111,-2,-3,-3,-7,2,3,3,2,2
112,-2,-3,-4,-7,2,3,1,2,2
113,-2,-3,-3,-7,2,3,0,1,2
114,-2,-2,-3,-7,2,3,1,2,2
115,-2,-3,-3,-7,2,3,2,2,2
116,-2,-2,-3,-7,2,3,1,2,2
